X,Y,Record ID,Name / Tit,Century
27.588037,37.1957785,"54",Temple - Bargylia,3 BCE
27.9212,36.3362,"57",Temple - Camirus/Kamiros,3 BCE|2 BCE
27.9526,37.0376,"55",Temple - Ceramus/Keramos,3 BCE|2 BCE
26.1342335,38.37641,"193",Temple - Chios,2 BCE
27.340307,37.9407625,"52",Temple - Ephesus,3 BCE
27.420201,37.042901,"51",Temple - Halicarnassus,3 BCE
28.0882,36.0913,"58",Temple - Lindus/Lindos,3 BCE|2 BCE|1 BCE|1 CE|2 CE
27.526039,37.8505485,"214",Temple - Magnesia ad Maeandrum,2 BCE
28.14439,36.65003,"56",Temple - Phoenix,3 BCE
28.227611,36.443113,"167",Temple - Rhodos (city),2 BCE|1 BCE|1 CE|2 CE
26.944483,37.68825,"200",Temple - Samos,2 BCE
28.061849,37.3137095,"53",Temple - Stratonicea,3 BCE
27.8467,36.5519,"168",Temple - Syme,2 BCE
26.9392185,38.760689,"295",Temple - Cyme,2 BCE|1 BCE|1 CE|2 CE|3 CE
27.298333,37.66,"50",Temple - Priene,3 BCE|2 BCE|1 BCE
